"Time","Baseline Latency","Prink Latency"
2025-07-25 16:55:15,54.9 s,45.4 s
2025-07-25 16:55:30,56.1 s,45.4 s
2025-07-25 16:55:45,55.0 s,51.5 s
2025-07-25 16:56:00,52.9 s,51.5 s
2025-07-25 16:56:15,47.6 s,51.5 s
2025-07-25 16:56:30,45.0 s,51.5 s
2025-07-25 16:56:45,40.1 s,1.04 mins
2025-07-25 16:57:00,29.9 s,1.05 mins
2025-07-25 16:57:15,28.7 s,1.11 mins
2025-07-25 16:57:30,21.9 s,1.20 mins
2025-07-25 16:57:45,14.5 s,1.21 mins
2025-07-25 16:58:00,14.5 s,1.21 mins
2025-07-25 16:58:15,14.5 s,1.21 mins
2025-07-25 16:58:30,29.5 s,1.51 mins
2025-07-25 16:58:45,29.5 s,1.51 mins
2025-07-25 16:59:00,29.5 s,1.51 mins
2025-07-25 16:59:15,29.6 s,1.51 mins
2025-07-25 16:59:45,27.6 s,1.51 mins
2025-07-25 17:00:00,26.6 s,1.52 mins
2025-07-25 17:00:30,26.4 s,1.52 mins
2025-07-25 17:00:45,26.4 s,1.57 mins
2025-07-25 17:01:00,26.3 s,1.69 mins
2025-07-25 17:01:45,26.3 s,1.69 mins
2025-07-25 17:02:00,24.0 s,1.69 mins
2025-07-25 17:02:30,23.8 s,1.69 mins
2025-07-25 17:02:45,23.8 s,1.72 mins
2025-07-25 17:03:00,18.8 s,1.81 mins
2025-07-25 17:03:15,11.7 s,1.84 mins
2025-07-25 17:03:30,7.11 s,1.85 mins
2025-07-25 17:03:45,5.75 s,1.85 mins
2025-07-25 17:05:00,5.52 s,1.85 mins
2025-07-25 17:05:15,9.02 s,1.96 mins
2025-07-25 17:05:30,6.34 s,1.97 mins
2025-07-25 17:05:45,4.46 s,1.98 mins
2025-07-25 17:08:00,2.80 s,1.98 mins
2025-07-25 17:08:15,2.27 s,1.98 mins
2025-07-25 17:08:30,1.35 s,2.00 mins
2025-07-25 17:08:45,2.39 s,2.05 mins
2025-07-25 17:09:00,7.35 s,2.20 mins
2025-07-25 17:12:00,10.8 s,2.26 mins
2025-07-25 17:12:15,14.9 s,2.36 mins
2025-07-25 17:13:30,32.1 s,2.67 mins
2025-07-25 17:13:45,31.7 s,2.90 mins
2025-07-25 17:14:00,48.1 s,3.28 mins
2025-07-25 17:14:15,41.9 s,3.28 mins
2025-07-25 17:15:30,41.7 s,3.28 mins
2025-07-25 17:15:45,40.1 s,3.28 mins
2025-07-25 17:16:00,39.9 s,3.27 mins
2025-07-25 17:17:45,38.4 s,3.29 mins
2025-07-25 17:18:00,36.4 s,3.27 mins
2025-07-25 17:18:15,36.5 s,3.31 mins
2025-07-25 17:18:30,56.5 s,3.82 mins
2025-07-25 17:18:45,53.9 s,3.87 mins
2025-07-25 17:19:00,44.6 s,3.87 mins
2025-07-25 17:20:45,44.6 s,3.87 mins
2025-07-25 17:21:00,1.12 mins,3.87 mins
2025-07-25 17:21:15,1.12 mins,3.87 mins
2025-07-25 17:21:30,1.14 mins,4.34 mins
2025-07-25 17:21:45,1.08 mins,4.34 mins
2025-07-25 17:22:00,1.07 mins,4.34 mins
