"Time","Min. Latency","Avg. Latency","Max. Latency"
2025-07-25 09:58:30,3.86 s,3.88 s,3.90 s
2025-07-25 09:58:45,3.84 s,3.87 s,3.89 s
2025-07-25 09:59:00,4.15 s,4.22 s,4.30 s
2025-07-25 09:59:15,4.32 s,4.41 s,4.49 s
2025-07-25 09:59:30,4.44 s,4.52 s,4.57 s
2025-07-25 09:59:45,4.36 s,4.43 s,4.57 s
2025-07-25 10:00:00,4.84 s,5.34 s,5.98 s
2025-07-25 10:00:15,6.05 s,6.15 s,6.24 s
2025-07-25 10:00:30,6.40 s,6.49 s,6.60 s
2025-07-25 10:00:45,6.49 s,7.35 s,8.23 s
2025-07-25 10:01:00,8.22 s,8.32 s,8.38 s
2025-07-25 10:01:15,8.12 s,8.20 s,8.30 s
2025-07-25 10:01:30,8.05 s,8.08 s,8.11 s
2025-07-25 10:01:45,8.16 s,8.17 s,8.17 s
2025-07-25 10:02:00,8.42 s,8.62 s,8.77 s
2025-07-25 10:02:15,9.04 s,9.24 s,9.48 s
2025-07-25 10:02:30,9.55 s,9.61 s,9.75 s
2025-07-25 10:02:45,9.83 s,10.0 s,10.3 s
2025-07-25 10:03:00,10.3 s,10.3 s,10.3 s
2025-07-25 10:03:15,10.2 s,10.3 s,11.2 s
2025-07-25 10:03:30,10.3 s,10.4 s,10.7 s
2025-07-25 10:03:45,10.8 s,11.3 s,11.7 s
2025-07-25 10:04:00,12.1 s,12.1 s,12.1 s
2025-07-25 10:04:15,12.0 s,12.1 s,12.1 s
2025-07-25 10:04:30,11.8 s,12.0 s,12.1 s
2025-07-25 10:04:45,11.4 s,11.6 s,11.7 s
2025-07-25 10:05:00,11.5 s,11.6 s,11.7 s
2025-07-25 10:05:15,11.5 s,12.1 s,12.9 s
2025-07-25 10:05:30,14.5 s,14.5 s,14.5 s
2025-07-25 10:06:00,14.5 s,15.0 s,15.3 s
2025-07-25 10:06:15,14.9 s,15.2 s,15.3 s
2025-07-25 10:06:30,14.4 s,14.8 s,15.0 s
2025-07-25 10:06:45,14.6 s,14.7 s,14.8 s
2025-07-25 10:07:00,14.9 s,14.9 s,14.9 s
2025-07-25 10:07:15,14.9 s,14.9 s,14.9 s
2025-07-25 10:08:00,14.7 s,14.8 s,14.9 s
2025-07-25 10:08:15,14.8 s,14.8 s,14.9 s
2025-07-25 10:08:30,14.8 s,14.8 s,14.9 s
2025-07-25 10:08:45,14.9 s,15.0 s,15.1 s
2025-07-25 10:09:00,15.1 s,15.1 s,15.2 s
2025-07-25 10:09:15,15.1 s,15.2 s,15.3 s
2025-07-25 10:09:30,15.3 s,15.3 s,15.3 s
2025-07-25 10:09:45,15.3 s,15.3 s,15.3 s
2025-07-25 10:10:30,15.3 s,15.3 s,15.4 s
2025-07-25 10:10:45,15.3 s,15.3 s,15.4 s
2025-07-25 10:11:00,14.6 s,15.1 s,15.4 s
2025-07-25 10:11:15,14.7 s,14.7 s,14.8 s
2025-07-25 10:11:30,14.7 s,14.8 s,14.9 s
2025-07-25 10:11:45,14.8 s,14.9 s,14.9 s
2025-07-25 10:12:00,14.9 s,14.9 s,15.0 s
2025-07-25 10:12:15,14.8 s,14.9 s,15.0 s
2025-07-25 10:12:30,13.4 s,14.0 s,15.1 s
2025-07-25 10:12:45,13.4 s,13.4 s,13.5 s
2025-07-25 10:13:00,13.4 s,13.4 s,13.4 s
2025-07-25 10:14:00,13.3 s,13.3 s,13.3 s
2025-07-25 10:14:15,13.2 s,13.3 s,14.3 s
2025-07-25 10:14:30,13.2 s,13.2 s,13.3 s
2025-07-25 10:14:45,13.2 s,13.3 s,13.3 s
2025-07-25 10:15:00,12.3 s,12.3 s,12.4 s
2025-07-25 10:15:15,12.1 s,12.2 s,12.2 s
2025-07-25 10:15:30,12.0 s,12.1 s,12.1 s
2025-07-25 10:15:45,12.0 s,12.1 s,12.1 s
2025-07-25 10:16:00,12.0 s,12.0 s,12.1 s
2025-07-25 10:16:15,11.2 s,11.7 s,12.0 s
2025-07-25 10:16:30,11.1 s,11.1 s,11.1 s
2025-07-25 10:16:45,11.1 s,11.1 s,11.2 s
2025-07-25 10:17:00,11.2 s,11.2 s,11.2 s
2025-07-25 10:17:15,11.1 s,11.1 s,11.2 s
2025-07-25 10:17:30,10.8 s,10.9 s,11.0 s
2025-07-25 10:17:45,10.8 s,11.0 s,11.0 s
2025-07-25 10:18:00,10.8 s,10.9 s,10.9 s
2025-07-25 10:19:30,10.8 s,10.8 s,10.8 s
2025-07-25 10:19:45,10.8 s,10.8 s,10.8 s
2025-07-25 10:20:00,10.6 s,10.7 s,10.8 s
2025-07-25 10:20:15,10.5 s,10.5 s,10.6 s
2025-07-25 10:20:30,10.5 s,10.5 s,10.6 s
2025-07-25 10:20:45,10.5 s,10.5 s,10.5 s
2025-07-25 10:21:00,10.4 s,10.4 s,10.5 s
2025-07-25 10:21:15,10.3 s,10.4 s,10.4 s
2025-07-25 10:21:30,10.3 s,10.3 s,10.4 s
2025-07-25 10:21:45,10.3 s,10.3 s,10.3 s
2025-07-25 10:22:00,10.2 s,10.2 s,10.3 s
2025-07-25 10:22:15,10.2 s,10.2 s,10.2 s
2025-07-25 10:22:30,10.2 s,10.2 s,10.2 s
2025-07-25 10:22:45,10.2 s,10.2 s,10.2 s
2025-07-25 10:23:00,10.2 s,10.2 s,10.2 s
2025-07-25 10:23:15,10.1 s,10.1 s,10.1 s
2025-07-25 10:23:30,10.1 s,10.1 s,10.1 s
2025-07-25 10:23:45,10.0 s,10.0 s,10.1 s
2025-07-25 10:24:00,9.95 s,9.98 s,10.0 s
2025-07-25 10:24:15,9.91 s,9.94 s,9.95 s
2025-07-25 10:24:30,9.89 s,9.90 s,9.90 s
2025-07-25 10:24:45,9.87 s,9.88 s,9.89 s
