"Time","Min. Latency","Avg. Latency","Max. Latency"
2025-07-25 12:30:00,12.0 s,12.0 s,12.0 s
2025-07-25 12:30:15,12.2 s,12.2 s,12.2 s
2025-07-25 12:30:30,12.2 s,12.3 s,12.3 s
2025-07-25 12:30:45,12.2 s,12.3 s,12.3 s
2025-07-25 12:31:00,12.1 s,12.2 s,12.2 s
2025-07-25 12:31:15,12.1 s,12.2 s,12.2 s
2025-07-25 12:31:30,11.9 s,12.0 s,12.0 s
2025-07-25 12:31:45,11.9 s,11.9 s,11.9 s
2025-07-25 12:32:00,11.8 s,11.8 s,11.8 s
2025-07-25 12:32:15,11.7 s,11.8 s,11.8 s
2025-07-25 12:32:30,11.6 s,11.7 s,11.7 s
2025-07-25 12:32:45,11.5 s,11.6 s,11.6 s
2025-07-25 12:33:00,11.6 s,11.7 s,11.7 s
2025-07-25 12:33:15,11.6 s,11.8 s,11.8 s
2025-07-25 12:33:30,11.7 s,11.8 s,11.8 s
2025-07-25 12:33:45,11.8 s,11.8 s,11.8 s
2025-07-25 12:34:00,11.7 s,11.8 s,11.8 s
2025-07-25 12:34:15,11.6 s,11.7 s,11.7 s
2025-07-25 12:34:30,11.6 s,11.7 s,11.7 s
2025-07-25 12:34:45,11.6 s,11.6 s,11.7 s
2025-07-25 12:35:00,11.6 s,11.8 s,11.8 s
2025-07-25 12:35:15,11.8 s,11.8 s,11.8 s
2025-07-25 12:35:30,12.0 s,12.5 s,12.5 s
2025-07-25 12:35:45,12.6 s,12.6 s,12.6 s
2025-07-25 12:36:00,12.6 s,12.6 s,12.6 s
2025-07-25 12:36:15,12.5 s,12.6 s,12.6 s
2025-07-25 12:36:30,12.6 s,12.7 s,12.7 s
2025-07-25 12:36:45,12.9 s,12.9 s,12.9 s
2025-07-25 12:37:00,12.9 s,12.9 s,12.9 s
2025-07-25 12:37:15,13.0 s,13.0 s,13.0 s
2025-07-25 12:37:30,12.9 s,13.0 s,13.0 s
2025-07-25 12:37:45,12.8 s,12.9 s,12.9 s
2025-07-25 12:38:00,12.8 s,12.8 s,12.9 s
2025-07-25 12:38:15,12.8 s,13.0 s,13.0 s
2025-07-25 12:38:30,13.0 s,13.1 s,13.1 s
2025-07-25 12:38:45,13.1 s,13.1 s,13.1 s
2025-07-25 12:39:15,13.1 s,13.2 s,13.2 s
2025-07-25 12:39:30,13.3 s,13.4 s,13.4 s
2025-07-25 12:39:45,13.3 s,13.4 s,13.4 s
2025-07-25 12:40:00,13.1 s,13.2 s,13.2 s
2025-07-25 12:40:15,13.0 s,13.1 s,13.1 s
2025-07-25 12:40:30,12.9 s,13.0 s,13.0 s
2025-07-25 12:40:45,12.9 s,13.0 s,13.0 s
2025-07-25 12:41:15,13.0 s,13.0 s,13.1 s
2025-07-25 12:41:30,13.1 s,13.1 s,13.1 s
2025-07-25 12:41:45,13.0 s,13.0 s,13.0 s
2025-07-25 12:42:00,13.0 s,13.0 s,13.0 s
2025-07-25 12:42:15,13.0 s,13.0 s,13.0 s
2025-07-25 12:42:30,13.0 s,13.3 s,14.0 s
2025-07-25 12:42:45,13.0 s,13.1 s,13.1 s
2025-07-25 12:43:00,13.2 s,13.3 s,13.3 s
2025-07-25 12:43:15,13.3 s,13.3 s,13.3 s
2025-07-25 12:43:30,13.3 s,13.3 s,13.3 s
2025-07-25 12:43:45,13.3 s,13.5 s,13.5 s
2025-07-25 12:44:00,13.6 s,13.9 s,13.9 s
2025-07-25 12:44:15,14.2 s,14.4 s,14.4 s
2025-07-25 12:44:30,14.4 s,14.4 s,14.4 s
2025-07-25 12:44:45,14.5 s,14.6 s,14.6 s
2025-07-25 12:45:00,14.7 s,14.8 s,14.8 s
2025-07-25 12:45:15,14.7 s,14.7 s,14.7 s
2025-07-25 12:45:30,14.7 s,14.7 s,14.7 s
2025-07-25 12:46:00,14.7 s,14.7 s,14.7 s
2025-07-25 12:46:15,14.6 s,14.6 s,14.6 s
2025-07-25 12:46:30,14.6 s,14.8 s,14.8 s
2025-07-25 12:46:45,13.9 s,13.9 s,13.9 s
2025-07-25 12:47:00,13.9 s,13.9 s,13.9 s
2025-07-25 12:47:15,13.8 s,13.9 s,13.9 s
2025-07-25 12:47:30,13.9 s,14.0 s,14.0 s
2025-07-25 12:47:45,14.0 s,14.1 s,14.4 s
2025-07-25 12:48:00,13.9 s,14.0 s,14.0 s
2025-07-25 12:48:15,14.0 s,14.0 s,14.0 s
2025-07-25 12:48:45,14.0 s,14.0 s,14.0 s
2025-07-25 12:49:00,14.0 s,14.1 s,14.1 s
2025-07-25 12:49:15,14.1 s,14.1 s,14.1 s
2025-07-25 12:49:30,14.0 s,14.2 s,14.2 s
2025-07-25 12:49:45,14.3 s,14.4 s,14.4 s
2025-07-25 12:50:00,14.3 s,14.4 s,14.4 s
2025-07-25 12:50:15,13.6 s,13.7 s,13.7 s
2025-07-25 12:50:30,13.6 s,13.6 s,13.6 s
2025-07-25 12:50:45,13.5 s,13.6 s,13.6 s
