"Time","Observed l","Defined l"
2025-07-25 16:55:15,3,3
2025-07-25 16:55:30,2,3
2025-07-25 16:55:45,3,3
2025-07-25 16:56:00,2,3
2025-07-25 16:56:15,2,3
2025-07-25 16:56:30,3,3
2025-07-25 16:56:45,3,3
2025-07-25 16:57:00,3,3
2025-07-25 16:57:15,3,3
2025-07-25 16:57:30,3,3
2025-07-25 16:57:45,3,3
2025-07-25 16:58:00,3,3
2025-07-25 16:58:15,3,3
2025-07-25 16:58:30,3,3
2025-07-25 16:58:45,3,3
2025-07-25 16:59:00,3,3
2025-07-25 16:59:15,3,3
2025-07-25 16:59:30,2,3
2025-07-25 16:59:45,3,3
2025-07-25 17:00:00,3,3
2025-07-25 17:00:15,3,3
2025-07-25 17:00:30,3,3
2025-07-25 17:00:45,3,3
2025-07-25 17:01:00,3,3
2025-07-25 17:01:15,3,3
2025-07-25 17:01:30,3,3
2025-07-25 17:01:45,3,3
2025-07-25 17:02:00,3,3
2025-07-25 17:02:15,3,3
2025-07-25 17:02:30,3,3
2025-07-25 17:02:45,3,3
2025-07-25 17:03:00,3,3
2025-07-25 17:03:15,3,3
2025-07-25 17:03:30,3,3
2025-07-25 17:03:45,3,3
2025-07-25 17:04:00,3,3
2025-07-25 17:04:15,3,3
2025-07-25 17:04:30,3,3
2025-07-25 17:04:45,3,3
2025-07-25 17:05:00,2,3
2025-07-25 17:05:15,3,3
2025-07-25 17:05:30,3,3
2025-07-25 17:05:45,3,3
2025-07-25 17:06:00,3,3
2025-07-25 17:06:15,3,3
2025-07-25 17:06:30,2,3
2025-07-25 17:06:45,2,3
2025-07-25 17:07:00,3,3
2025-07-25 17:07:15,3,3
2025-07-25 17:07:30,3,3
2025-07-25 17:07:45,3,3
2025-07-25 17:08:00,3,3
2025-07-25 17:08:15,3,3
2025-07-25 17:08:30,3,3
2025-07-25 17:08:45,3,3
2025-07-25 17:09:00,3,3
2025-07-25 17:09:15,4,3
2025-07-25 17:09:30,2,3
2025-07-25 17:09:45,3,3
2025-07-25 17:10:15,3,3
2025-07-25 17:10:30,3,3
2025-07-25 17:10:45,3,3
2025-07-25 17:11:00,3,3
2025-07-25 17:11:15,3,3
2025-07-25 17:11:30,3,3
2025-07-25 17:11:45,3,3
2025-07-25 17:12:00,3,3
2025-07-25 17:12:15,3,3
2025-07-25 17:12:30,3,3
2025-07-25 17:12:45,3,3
2025-07-25 17:13:00,3,3
2025-07-25 17:13:15,3,3
2025-07-25 17:13:30,2,3
2025-07-25 17:13:45,3,3
2025-07-25 17:14:00,3,3
2025-07-25 17:14:15,3,3
2025-07-25 17:14:30,3,3
2025-07-25 17:14:45,3,3
2025-07-25 17:15:00,3,3
2025-07-25 17:15:15,3,3
2025-07-25 17:15:30,3,3
2025-07-25 17:15:45,3,3
2025-07-25 17:16:00,3,3
2025-07-25 17:16:15,2,3
2025-07-25 17:16:30,3,3
2025-07-25 17:16:45,2,3
2025-07-25 17:17:00,2,3
2025-07-25 17:17:15,3,3
2025-07-25 17:17:30,3,3
2025-07-25 17:17:45,3,3
2025-07-25 17:18:00,3,3
2025-07-25 17:18:15,3,3
2025-07-25 17:18:30,3,3
2025-07-25 17:18:45,3,3
2025-07-25 17:19:00,3,3
2025-07-25 17:19:15,3,3
2025-07-25 17:19:30,4,3
2025-07-25 17:19:45,3,3
2025-07-25 17:20:00,3,3
2025-07-25 17:20:15,3,3
2025-07-25 17:20:30,3,3
2025-07-25 17:20:45,3,3
2025-07-25 17:21:00,3,3
2025-07-25 17:21:15,3,3
2025-07-25 17:21:30,3,3
2025-07-25 17:21:45,3,3
